crdc_id,ncessch,fips,leaid,year,race,sex,disability,lep,homeless,students_chronically_absent
172409005031,172409005031,17,1724090,2020,6,2,99,99,99,-1
172409005031,172409005031,17,1724090,2020,6,1,99,99,99,-1
172409005031,172409005031,17,1724090,2020,6,99,99,99,99,-1
172409005031,172409005031,17,1724090,2020,7,2,99,99,99,1
172409005031,172409005031,17,1724090,2020,7,1,99,99,99,6
172409005031,172409005031,17,1724090,2020,7,99,99,99,99,7
172409005031,172409005031,17,1724090,2020,1,2,99,99,99,122
172409005031,172409005031,17,1724090,2020,1,1,99,99,99,158
172409005031,172409005031,17,1724090,2020,1,99,99,99,99,280
172409005032,172409005032,17,1724090,2020,99,99,99,99,99,641
172409005032,172409005032,17,1724090,2020,4,2,99,99,99,19
172409005032,172409005032,17,1724090,2020,4,1,99,99,99,19
172409005032,172409005032,17,1724090,2020,4,99,99,99,99,38
172409005032,172409005032,17,1724090,2020,2,2,99,99,99,12
172409005032,172409005032,17,1724090,2020,2,1,99,99,99,23
172409005032,172409005032,17,1724090,2020,2,99,99,99,99,35
172409005032,172409005032,17,1724090,2020,3,2,99,99,99,163
172409005032,172409005032,17,1724090,2020,3,1,99,99,99,205
172409005032,172409005032,17,1724090,2020,3,99,99,99,99,368
172409005032,172409005032,17,1724090,2020,99,2,99,99,1,9
172409005032,172409005032,17,1724090,2020,99,1,99,99,1,15
172409005032,172409005032,17,1724090,2020,99,99,99,99,1,24
172409005032,172409005032,17,1724090,2020,5,2,99,99,99,-1
172409005032,172409005032,17,1724090,2020,5,1,99,99,99,-1
172409005032,172409005032,17,1724090,2020,5,99,99,99,99,-1
172409005032,172409005032,17,1724090,2020,6,2,99,99,99,1
172409005032,172409005032,17,1724090,2020,6,1,99,99,99,-1
172409005032,172409005032,17,1724090,2020,6,99,99,99,99,-1
172409005032,172409005032,17,1724090,2020,7,2,99,99,99,6
172409005032,172409005032,17,1724090,2020,7,1,99,99,99,7
172409005032,172409005032,17,1724090,2020,7,99,99,99,99,13
172409005032,172409005032,17,1724090,2020,1,2,99,99,99,80
172409005032,172409005032,17,1724090,2020,1,1,99,99,99,106
172409005032,172409005032,17,1724090,2020,1,99,99,99,99,186
172409005034,172409005034,17,1724090,2020,99,99,99,99,99,26
172409005034,172409005034,17,1724090,2020,4,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,4,1,99,99,99,1
172409005034,172409005034,17,1724090,2020,4,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,2,2,99,99,99,2
172409005034,172409005034,17,1724090,2020,2,1,99,99,99,2
172409005034,172409005034,17,1724090,2020,2,99,99,99,99,4
172409005034,172409005034,17,1724090,2020,3,2,99,99,99,2
172409005034,172409005034,17,1724090,2020,3,1,99,99,99,4
172409005034,172409005034,17,1724090,2020,3,99,99,99,99,6
172409005034,172409005034,17,1724090,2020,99,2,99,99,1,3
172409005034,172409005034,17,1724090,2020,99,1,99,99,1,-1
172409005034,172409005034,17,1724090,2020,99,99,99,99,1,-1
172409005034,172409005034,17,1724090,2020,5,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,5,1,99,99,99,-1
172409005034,172409005034,17,1724090,2020,5,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,6,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,6,1,99,99,99,-1
172409005034,172409005034,17,1724090,2020,6,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,7,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,7,1,99,99,99,1
172409005034,172409005034,17,1724090,2020,7,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,1,2,99,99,99,6
172409005034,172409005034,17,1724090,2020,1,1,99,99,99,8
172409005034,172409005034,17,1724090,2020,1,99,99,99,99,14
172409005030,172409005030,17,1724090,2021,3,2,99,99,99,98
172409005030,172409005030,17,1724090,2021,3,1,99,99,99,119
172409005030,172409005030,17,1724090,2021,5,99,99,99,99,1
172409005030,172409005030,17,1724090,2021,1,2,99,99,99,105
172409005030,172409005030,17,1724090,2021,99,2,99,99,1,10
172409005030,172409005030,17,1724090,2021,99,99,99,99,99,709
172409005030,172409005030,17,1724090,2021,5,1,99,99,99,1
172409005030,172409005030,17,1724090,2021,2,1,99,99,99,17
172409005030,172409005030,17,1724090,2021,7,2,99,99,99,16
172409005030,172409005030,17,1724090,2021,1,99,99,99,99,245
172409005030,172409005030,17,1724090,2021,1,1,99,99,99,140
172409005030,172409005030,17,1724090,2021,4,1,99,99,99,93
172409005030,172409005030,17,1724090,2021,4,99,99,99,99,172
172409005030,172409005030,17,1724090,2021,2,99,99,99,99,46
172409005030,172409005030,17,1724090,2021,4,2,99,99,99,79
172409005030,172409005030,17,1724090,2021,3,99,99,99,99,217
172409005030,172409005030,17,1724090,2021,7,1,99,99,99,12
172409005030,172409005030,17,1724090,2021,2,2,99,99,99,29
172409005030,172409005030,17,1724090,2021,99,1,99,99,1,9
172409005030,172409005030,17,1724090,2021,7,99,99,99,99,28
172409005031,172409005031,17,1724090,2021,4,99,99,99,99,19
172409005031,172409005031,17,1724090,2021,99,99,99,99,99,551
172409005031,172409005031,17,1724090,2021,99,2,99,99,1,3
172409005031,172409005031,17,1724090,2021,3,2,99,99,99,40
172409005031,172409005031,17,1724090,2021,4,1,99,99,99,7
172409005031,172409005031,17,1724090,2021,4,2,99,99,99,12
172409005031,172409005031,17,1724090,2021,7,2,99,99,99,4
172409005031,172409005031,17,1724090,2021,6,99,99,99,99,1
172409005031,172409005031,17,1724090,2021,2,2,99,99,99,1
172409005031,172409005031,17,1724090,2021,1,1,99,99,99,197
172409005031,172409005031,17,1724090,2021,1,99,99,99,99,433
172409005031,172409005031,17,1724090,2021,2,1,99,99,99,2
172409005031,172409005031,17,1724090,2021,1,2,99,99,99,236
172409005031,172409005031,17,1724090,2021,7,1,99,99,99,12
172409005031,172409005031,17,1724090,2021,6,2,99,99,99,1
172409005031,172409005031,17,1724090,2021,7,99,99,99,99,16
172409005031,172409005031,17,1724090,2021,3,1,99,99,99,39
172409005031,172409005031,17,1724090,2021,2,99,99,99,99,3
172409005031,172409005031,17,1724090,2021,3,99,99,99,99,79
172409005032,172409005032,17,1724090,2021,5,99,99,99,99,1
172409005032,172409005032,17,1724090,2021,7,1,99,99,99,6
172409005032,172409005032,17,1724090,2021,2,2,99,99,99,10
172409005032,172409005032,17,1724090,2021,5,1,99,99,99,1
172409005032,172409005032,17,1724090,2021,4,2,99,99,99,37
172409005032,172409005032,17,1724090,2021,2,99,99,99,99,32
172409005032,172409005032,17,1724090,2021,4,99,99,99,99,71
172409005032,172409005032,17,1724090,2021,3,2,99,99,99,234
172409005032,172409005032,17,1724090,2021,99,2,99,99,1,17
172409005032,172409005032,17,1724090,2021,3,99,99,99,99,454
172409005032,172409005032,17,1724090,2021,4,1,99,99,99,34
172409005032,172409005032,17,1724090,2021,7,2,99,99,99,7
172409005032,172409005032,17,1724090,2021,3,1,99,99,99,220
172409005032,172409005032,17,1724090,2021,99,99,99,99,99,877
172409005032,172409005032,17,1724090,2021,1,1,99,99,99,159
172409005032,172409005032,17,1724090,2021,99,1,99,99,1,10
172409005032,172409005032,17,1724090,2021,1,99,99,99,99,306
172409005032,172409005032,17,1724090,2021,7,99,99,99,99,13
172409005032,172409005032,17,1724090,2021,1,2,99,99,99,147
172409005032,172409005032,17,1724090,2021,2,1,99,99,99,22
172409005034,172409005034,17,1724090,2021,99,1,99,99,1,1
172409005034,172409005034,17,1724090,2021,2,2,99,99,99,1
172409005034,172409005034,17,1724090,2021,3,2,99,99,99,4
172409005034,172409005034,17,1724090,2021,3,1,99,99,99,6
172409005034,172409005034,17,1724090,2021,1,1,99,99,99,8
172409005034,172409005034,17,1724090,2021,3,99,99,99,99,10
172409005034,172409005034,17,1724090,2021,99,2,99,99,1,2
172409005034,172409005034,17,1724090,2021,7,1,99,99,99,1
172409005034,172409005034,17,1724090,2021,99,99,99,99,99,25
172409005034,172409005034,17,1724090,2021,7,99,99,99,99,1
172409005034,172409005034,17,1724090,2021,1,2,99,99,99,5
172409005034,172409005034,17,1724090,2021,1,99,99,99,99,13
172409005034,172409005034,17,1724090,2021,2,99,99,99,99,1
